EVENT_ID  ISSUE_ID  TYPE                CREATION_DATE               ACTOR      TITLE
​ 4012111656 31098 | head_ref_deleted | 2020-11-18T18:20:07Z | XhmikosR | Docs: change sidebar collapse controls to actual button elements
​ 4012111594 31098 | closed | 2020-11-18T18:20:06Z | XhmikosR | Docs: change sidebar collapse controls to actual button elements
​ 4012111584 31098 | merged | 2020-11-18T18:20:05Z | XhmikosR | Docs: change sidebar collapse controls to actual button elements
​ 4012111579 31098 | referenced | 2020-11-18T18:20:05Z | XhmikosR | Docs: change sidebar collapse controls to actual button elements
​ 4012069389 31098 | subscribed | 2020-11-18T18:09:39Z | MartijnCuppens | Docs: change sidebar collapse controls to actual button elements
​ 4012069386 31098 | subscribed | 2020-11-18T18:09:39Z | ysds | Docs: change sidebar collapse controls to actual button elements
​ 4012069381 31098 | subscribed | 2020-11-18T18:09:39Z | ffoodd | Docs: change sidebar collapse controls to actual button elements
​ 4012069378 31098 | subscribed | 2020-11-18T18:09:39Z | mdo | Docs: change sidebar collapse controls to actual button elements
​ 4011886427 32191 | head_ref_deleted | 2020-11-18T17:31:23Z | matthew-shaw | Correct block button breakpoint docs typo
​ 4011721778 31099 | labeled | 2020-11-18T16:56:30Z | XhmikosR | Dynamic Tabs, where href starts with number, not working
​ 4011683404 31486 | labeled | 2020-11-18T16:48:47Z | XhmikosR | Add `z-index` utility
​ 4011650635 31943 | subscribed | 2020-11-18T16:41:50Z | MartijnCuppens | Feature Request - New Width Classes 
​ 4011650624 31943 | mentioned | 2020-11-18T16:41:50Z | MartijnCuppens | Feature Request - New Width Classes 
​ 4011650608 31943 | subscribed | 2020-11-18T16:41:50Z | ffoodd | Feature Request - New Width Classes 
​ 4011650597 31943 | mentioned | 2020-11-18T16:41:50Z | ffoodd | Feature Request - New Width Classes 
​ 4011519553 32191 | moved_columns_in_project | 2020-11-18T16:15:30Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011519508 32191 | closed | 2020-11-18T16:15:29Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011519504 32191 | merged | 2020-11-18T16:15:29Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011519482 32191 | referenced | 2020-11-18T16:15:29Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011519114 32191 | added_to_project | 2020-11-18T16:15:25Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011518890 32191 | labeled | 2020-11-18T16:15:22Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011518888 32191 | labeled | 2020-11-18T16:15:22Z | XhmikosR | Correct block button breakpoint docs typo
​ 4011448419 32162 | head_ref_deleted | 2020-11-18T16:01:40Z | kyletsang | docs: Add missing `.has-validation` class for input group example
​ 4011432563 31935 | subscribed | 2020-11-18T15:58:39Z | Johann-S | Dropdown Events Not Firing
​ 4011432560 31935 | mentioned | 2020-11-18T15:58:39Z | Johann-S | Dropdown Events Not Firing
​ 4011420107 31098 | subscribed | 2020-11-18T15:56:20Z | MartijnCuppens | Docs: change sidebar collapse controls to actual button elements
​ 4011420102 31098 | subscribed | 2020-11-18T15:56:20Z | ysds | Docs: change sidebar collapse controls to actual button elements
​ 4011420095 31098 | subscribed | 2020-11-18T15:56:20Z | ffoodd | Docs: change sidebar collapse controls to actual button elements
​ 4011420086 31098 | subscribed | 2020-11-18T15:56:20Z | mdo | Docs: change sidebar collapse controls to actual button elements
​ 4011341352 32191 | renamed | 2020-11-18T15:41:21Z | matthew-shaw | Correct block button breakpoint docs typo
​ 4011325409 31755 | head_ref_force_pushed | 2020-11-18T15:38:17Z | XhmikosR | Add a `gh` shortcode
​ 4011128814 32071 | subscribed | 2020-11-18T15:00:26Z | gdhdgy | Change the default responsive option and merge it inside variants option with  Pseudo-Classes.
