EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE                ACTOR               TITLE
​ 4022296721 80666 | labeled | 2020-11-20T18:41:13Z | vscode-triage-bot | Unnecessary code and decoration with :after prevents dnd
​ 4016574507 110887 | closed | 2020-11-19T15:52:55Z | rebornix | [Remote SSH] code-insiders from command line does not open folder
​ 4016572028 110520 | renamed | 2020-11-19T15:52:25Z | aeschli | [rename on type] Disable quick suggestion during on-type-rename
​ 4016571369 110517 | renamed | 2020-11-19T15:52:17Z | aeschli | [rename on type] Should on-type-rename work across files
​ 4016569764 110520 | milestoned | 2020-11-19T15:51:58Z | aeschli | [rename on type] Disable quick suggestion during on-type-rename
​ 4016569563 110520 | labeled | 2020-11-19T15:51:56Z | aeschli | [rename on type] Disable quick suggestion during on-type-rename
​ 4016568688 110520 | labeled | 2020-11-19T15:51:44Z | aeschli | [rename on type] Disable quick suggestion during on-type-rename
​ 4016567585 110517 | labeled | 2020-11-19T15:51:32Z | aeschli | [rename on type] Should on-type-rename work across files
​ 4016566079 110234 | labeled | 2020-11-19T15:51:13Z | aeschli | [css] General sibling combinator (~) not represented well on hover
​ 4016565527 110234 | labeled | 2020-11-19T15:51:06Z | aeschli | [css] General sibling combinator (~) not represented well on hover
​ 4016565523 110234 | unlabeled | 2020-11-19T15:51:06Z | aeschli | [css] General sibling combinator (~) not represented well on hover
​ 4016559455 110058 | closed | 2020-11-19T15:49:52Z | aeschli | Typing doesn't trigger snippets in JSON string
​ 4016557355 110806 | labeled | 2020-11-19T15:49:27Z | joaomoreno | Exploration: Switching keyboard layout on Windows crashes VS Code
​ 4016551950 105535 | closed | 2020-11-19T15:48:24Z | BG-dotcom | Freeze and Crash with 100% CPU usage
​ 4016543717 110884 | closed | 2020-11-19T15:46:43Z | joaomoreno | Big Sur: restart to update doesn't bring VS Code back
​ 4016518227 110904 | unassigned | 2020-11-19T15:41:38Z | joaomoreno | Incomplete Git warning when dealing with unmerged files
​ 4016518002 110904 | assigned | 2020-11-19T15:41:36Z | eamodio | Incomplete Git warning when dealing with unmerged files
​ 4016517353 110904 | subscribed | 2020-11-19T15:41:28Z | eamodio | Incomplete Git warning when dealing with unmerged files
​ 4016517347 110904 | mentioned | 2020-11-19T15:41:28Z | eamodio | Incomplete Git warning when dealing with unmerged files
​ 4016512788 110380 | labeled | 2020-11-19T15:40:39Z | aeschli | Also After Adding JSON schema you told ... color pickers are not appearing ...
​ 4016501308 110725 | unlabeled | 2020-11-19T15:38:25Z | joaomoreno | cache OpenURLOptions in ExtensionUrlBootstrapHandler
 4016501078 110725 | assigned | 2020-11-19T15:38:23Z | bpasero | cache OpenURLOptions in ExtensionUrlBootstrapHandler
 4016500627 110953 | demilestoned | 2020-11-19T15:38:18Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016500531 110953 | unlabeled | 2020-11-19T15:38:16Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016500528 110953 | unlabeled | 2020-11-19T15:38:16Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016500269 110953 | assigned | 2020-11-19T15:38:13Z | bpasero | Web: URL trusted prompt can be bypassed
 4016487888 110725 | subscribed | 2020-11-19T15:35:42Z | LeuisKen | cache OpenURLOptions in ExtensionUrlBootstrapHandler
 4016487884 110725 | mentioned | 2020-11-19T15:35:42Z | LeuisKen | cache OpenURLOptions in ExtensionUrlBootstrapHandler
 4016486656 110953 | milestoned | 2020-11-19T15:35:27Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016486502 110953 | assigned | 2020-11-19T15:35:25Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016486420 110953 | labeled | 2020-11-19T15:35:24Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016485918 110953 | labeled | 2020-11-19T15:35:19Z | joaomoreno | Web: URL trusted prompt can be bypassed
 4016484834 110953 | subscribed | 2020-11-19T15:35:06Z | LeuisKen | Web: URL trusted prompt can be bypassed
 4016484826 110953 | mentioned | 2020-11-19T15:35:05Z | LeuisKen | Web: URL trusted prompt can be bypassed
 4016462923 103082 | subscribed | 2020-11-19T15:30:45Z | alexdima | All of the vs code icons are missing!
 4016462920 103082 | mentioned | 2020-11-19T15:30:45Z | alexdima | All of the vs code icons are missing!
 4016462911 103082 | subscribed | 2020-11-19T15:30:45Z | bpasero | All of the vs code icons are missing!
 4016462901 103082 | mentioned | 2020-11-19T15:30:45Z | bpasero | All of the vs code icons are missing!
 4016388851 110949 | assigned | 2020-11-19T15:16:34Z | meganrogge | terminal wsl failed to launch 
 4016149552 110946 | labeled | 2020-11-19T14:31:07Z | alexr00 | The '$msCompile' problem matcher does not match Visual Studio Clang front end
 4016148964 110946 | closed | 2020-11-19T14:31:00Z | alexr00 | The '$msCompile' problem matcher does not match Visual Studio Clang front end
 4016146806 110947 | closed | 2020-11-19T14:30:33Z | vscode-triage-bot | Ability to reposition the quick access icons in the bottom bar.
 4016143979 110947 | labeled | 2020-11-19T14:30:01Z | vscode-triage-bot | Ability to reposition the quick access icons in the bottom bar.
 4016140472 108024 | closed | 2020-11-19T14:29:18Z | vscode-triage-bot | Allow specifying status bar item background (api)
 4016138563 108024 | labeled | 2020-11-19T14:28:55Z | vscode-triage-bot | Allow specifying status bar item background (api)
 4016135794 97202 | subscribed | 2020-11-19T14:28:23Z | bzarco | ${config:<name>} variables fail to resolve in multi-root workspace launch configurations.
 4016135789 97202 | mentioned | 2020-11-19T14:28:23Z | bzarco | ${config:<name>} variables fail to resolve in multi-root workspace launch configurations.
 4016135742 97202 | unlabeled | 2020-11-19T14:28:23Z | vscode-triage-bot | ${config:<name>} variables fail to resolve in multi-root workspace launch configurations.
